date,forecast,lower,upper
2018-08-23,320,210.175,437.2499999999999
2018-08-24,257,147.175,374.2499999999999
2018-08-25,198,88.175,315.2499999999999
2018-08-26,204,94.175,321.2499999999999
2018-08-27,256,146.175,373.2499999999999
2018-08-28,243,133.175,360.2499999999999
2018-08-29,187,77.175,304.2499999999999
2018-08-30,320,210.175,437.2499999999999
2018-08-31,257,147.175,374.2499999999999
2018-09-01,198,88.175,315.2499999999999
2018-09-02,204,94.175,321.2499999999999
2018-09-03,256,146.175,373.2499999999999
2018-09-04,243,133.175,360.2499999999999
2018-09-05,187,77.175,304.2499999999999
2018-09-06,320,210.175,437.2499999999999
2018-09-07,257,147.175,374.2499999999999
2018-09-08,198,88.175,315.2499999999999
2018-09-09,204,94.175,321.2499999999999
2018-09-10,256,146.175,373.2499999999999
2018-09-11,243,133.175,360.2499999999999
2018-09-12,187,77.175,304.2499999999999
2018-09-13,320,210.175,437.2499999999999
2018-09-14,257,147.175,374.2499999999999
2018-09-15,198,88.175,315.2499999999999
2018-09-16,204,94.175,321.2499999999999
2018-09-17,256,146.175,373.2499999999999
2018-09-18,243,133.175,360.2499999999999
2018-09-19,187,77.175,304.2499999999999
